2026-08-29 10:15:52Z RF ok: - | C2=12345.72 C3b=14180.55
2026-08-29 10:15:52Z ok [cloud] 14.5s events: - | eq=9562.82 pos=1
2026-08-29 10:28:40Z RF ok: - | C2=12345.72 C3b=14180.55
2026-08-29 10:28:40Z ok [cloud] 14.8s events: - | eq=9567.72 pos=1
2026-08-29 10:30:47Z RF ok: - | C2=12345.72 C3b=14180.55
2026-08-29 10:30:47Z ok [cloud] 13.3s events: - | eq=9566.67 pos=1
2026-08-29 10:43:34Z RF ok: - | C2=12345.72 C3b=14180.55
2026-08-29 10:43:34Z ok [cloud] 13.3s events: - | eq=9563.52 pos=1
2026-08-29 10:45:45Z RF ok: - | C2=12345.72 C3b=14180.55
2026-08-29 10:45:45Z ok [cloud] 14.7s events: - | eq=9564.92 pos=1
2026-08-29 10:56:02Z RF ok: - | C2=12345.72 C3b=14180.55
2026-08-29 10:56:02Z ok [cloud] 13.9s events: - | eq=9566.67 pos=1
2026-08-29 10:58:33Z RF ok: - | C2=12345.72 C3b=14180.55
2026-08-29 10:58:33Z ok [cloud] 12.8s events: - | eq=9565.62 pos=1
2026-08-29 11:00:52Z RF ok: - | C2=12345.72 C3b=14180.55
2026-08-29 11:00:52Z ok [cloud] 21.9s events: - | eq=9563.87 pos=1
2026-08-29 11:10:11Z RF ok: - | C2=12345.72 C3b=14180.55
2026-08-29 11:10:11Z ok [cloud] 14.6s events: - | eq=9561.42 pos=1
2026-08-29 11:13:46Z RF ok: - | C2=12345.72 C3b=14180.55
2026-08-29 11:13:46Z ok [cloud] 14.8s events: - | eq=9563.87 pos=1
2026-08-29 11:15:50Z RF ok: - | C2=12347.73 C3b=14184.27
2026-08-29 11:15:50Z ok [cloud] 13.1s events: - | eq=9565.27 pos=1
2026-08-29 11:28:49Z RF ok: - | C2=12347.73 C3b=14184.27
2026-08-29 11:28:49Z ok [cloud] 14.6s events: - | eq=9561.07 pos=1
2026-08-29 11:30:45Z RF ok: - | C2=12347.73 C3b=14184.27
2026-08-29 11:30:45Z ok [cloud] 14.5s events: - | eq=9561.07 pos=1
2026-08-29 11:45:36Z RF ok: - | C2=12347.73 C3b=14184.27
2026-08-29 11:45:36Z ok [cloud] 13s events: - | eq=9560.37 pos=1
2026-08-29 12:03:14Z scan 4h bar=2026-08-29 08:00: pass=0/20, near=BTC-USDT 7/6 (miss: triggerBar), btc=up fng=68 flat=off
2026-08-29 12:03:20Z RF ok: - | C2=12347.73 C3b=14184.27
2026-08-29 12:03:20Z ok [cloud] 133.3s events: - | eq=9563.52 pos=1
2026-08-29 12:13:38Z RF ok: - | C2=12347.73 C3b=14184.27
2026-08-29 12:13:38Z ok [cloud] 13.7s events: - | eq=9567.37 pos=1
2026-08-29 12:15:50Z RF ok: - | C2=12347.72 C3b=14184.43
2026-08-29 12:15:50Z ok [cloud] 13.9s events: - | eq=9570.87 pos=1
2026-08-29 12:28:46Z RF ok: - | C2=12347.72 C3b=14184.43
2026-08-29 12:28:46Z ok [cloud] 15.8s events: - | eq=9566.67 pos=1
2026-08-29 12:30:50Z RF ok: - | C2=12347.72 C3b=14184.43
2026-08-29 12:30:50Z ok [cloud] 13.9s events: - | eq=9568.07 pos=1
2026-08-29 12:43:41Z RF ok: - | C2=12347.72 C3b=14184.43
2026-08-29 12:43:41Z ok [cloud] 14.3s events: - | eq=9571.21 pos=1
2026-08-29 12:45:43Z RF ok: - | C2=12347.72 C3b=14184.43
2026-08-29 12:45:43Z ok [cloud] 13.5s events: - | eq=9572.26 pos=1
2026-08-29 12:58:39Z RF ok: - | C2=12347.72 C3b=14184.43
2026-08-29 12:58:39Z ok [cloud] 13.3s events: - | eq=9570.52 pos=1
2026-08-29 13:00:50Z RF ok: - | C2=12347.72 C3b=14184.43
2026-08-29 13:00:50Z ok [cloud] 16.5s events: - | eq=9570.87 pos=1
2026-08-29 13:16:06Z RF ok: - | C2=12345.33 C3b=14179.95
2026-08-29 13:16:06Z ok [cloud] 18.5s events: - | eq=9567.37 pos=1
2026-08-29 13:30:43Z RF ok: - | C2=12345.33 C3b=14179.95
2026-08-29 13:30:43Z ok [cloud] 14.6s events: - | eq=9569.12 pos=1
2026-08-29 13:45:44Z RF ok: - | C2=12345.33 C3b=14179.95
2026-08-29 13:45:44Z ok [cloud] 14.8s events: - | eq=9568.42 pos=1
2026-08-29 14:00:56Z RF ok: - | C2=12345.33 C3b=14179.95
2026-08-29 14:00:56Z ok [cloud] 14s events: - | eq=9576.11 pos=1
2026-08-29 14:15:47Z RF ok: - | C2=12355.42 C3b=14197.69
2026-08-29 14:15:47Z ok [cloud] 15.4s events: - | eq=9579.96 pos=1
2026-08-29 14:30:48Z RF ok: - | C2=12355.42 C3b=14197.69
2026-08-29 14:30:48Z ok [cloud] 16.8s events: - | eq=9583.45 pos=1
2026-08-29 14:45:41Z RF ok: - | C2=12355.42 C3b=14197.69
2026-08-29 14:45:41Z ok [cloud] 14.5s events: - | eq=9594.3 pos=1
2026-08-29 15:00:50Z RF ok: - | C2=12355.42 C3b=14197.69
2026-08-29 15:00:50Z ok [cloud] 14.4s events: - | eq=9598.14 pos=1
2026-08-29 15:15:44Z RF ok: - | C2=12356.81 C3b=14200.3
2026-08-29 15:15:44Z ok [cloud] 13.5s events: - | eq=9592.55 pos=1
2026-08-29 15:30:46Z RF ok: - | C2=12356.81 C3b=14200.3
2026-08-29 15:30:46Z ok [cloud] 14.6s events: - | eq=9585.2 pos=1
2026-08-29 15:46:00Z RF ok: - | C2=12356.81 C3b=14200.3
2026-08-29 15:46:00Z ok [cloud] 14.4s events: - | eq=9587.3 pos=1
2026-08-29 16:02:50Z scan 4h bar=2026-08-29 12:00: pass=0/20, near=UNI-USDT 7/6 (miss: atrCapLong), btc=up fng=68 flat=off
2026-08-29 16:02:55Z RF ok: - | C2=12356.81 C3b=14200.3
2026-08-29 16:02:55Z ok [cloud] 123.9s events: - | eq=9589.75 pos=1
2026-08-29 16:15:48Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 16:15:48Z ok [cloud] 14.4s events: - | eq=9589.84 pos=1
2026-08-29 16:30:40Z RF ok: - | C2=12344.95 C3b=14179.05
