2026-09-02 12:13:33Z RF ok: - | C2=12207.16 C3b=13930.65
2026-09-02 12:13:33Z ok [cloud] 3.4s events: - | eq=9172.89 pos=0
2026-09-02 12:16:13Z RF ok: - | C2=12116.79 C3b=13782.85
2026-09-02 12:16:13Z ok [cloud] 4.9s events: - | eq=9172.89 pos=0
2026-09-02 12:28:32Z RF ok: - | C2=12116.79 C3b=13782.85
2026-09-02 12:28:32Z ok [cloud] 3.1s events: - | eq=9172.89 pos=0
2026-09-02 12:30:34Z RF ok: - | C2=12116.79 C3b=13782.85
2026-09-02 12:30:34Z ok [cloud] 2.9s events: - | eq=9172.89 pos=0
2026-09-02 12:43:40Z RF ok: - | C2=12116.79 C3b=13782.85
2026-09-02 12:43:40Z ok [cloud] 3.7s events: - | eq=9172.89 pos=0
2026-09-02 12:45:34Z RF ok: - | C2=12116.79 C3b=13782.85
2026-09-02 12:45:34Z ok [cloud] 3.9s events: - | eq=9172.89 pos=0
2026-09-02 13:00:48Z RF ok: - | C2=12116.79 C3b=13782.85
2026-09-02 13:00:48Z ok [cloud] 3.8s events: - | eq=9172.89 pos=0
2026-09-02 13:15:42Z RF ok: - | C2=12187.15 C3b=13907.82
2026-09-02 13:15:42Z ok [cloud] 3.4s events: - | eq=9172.89 pos=0
2026-09-02 13:28:30Z RF ok: - | C2=12187.15 C3b=13907.82
2026-09-02 13:28:30Z ok [cloud] 3.8s events: - | eq=9172.89 pos=0
2026-09-02 13:30:54Z RF ok: - | C2=12187.15 C3b=13907.82
2026-09-02 13:30:54Z ok [cloud] 4.3s events: - | eq=9172.89 pos=0
2026-09-02 13:43:33Z RF ok: - | C2=12187.15 C3b=13907.82
2026-09-02 13:43:33Z ok [cloud] 3s events: - | eq=9172.89 pos=0
2026-09-02 13:45:40Z RF ok: - | C2=12187.15 C3b=13907.82
2026-09-02 13:45:40Z ok [cloud] 4.1s events: - | eq=9172.89 pos=0
2026-09-02 13:58:36Z RF ok: - | C2=12187.15 C3b=13907.82
2026-09-02 13:58:36Z ok [cloud] 4.8s events: - | eq=9172.89 pos=0
2026-09-02 14:00:36Z RF ok: - | C2=12187.15 C3b=13907.82
2026-09-02 14:00:36Z ok [cloud] 3.4s events: - | eq=9172.89 pos=0
2026-09-02 14:07:29Z RF ok: - | C2=12187.15 C3b=13907.82
2026-09-02 14:07:29Z ok [cloud] 3s events: - | eq=9172.89 pos=0
2026-09-02 14:13:29Z RF ok: - | C2=12187.15 C3b=13907.82
2026-09-02 14:13:29Z ok [cloud] 3.2s events: - | eq=9172.89 pos=0
2026-09-02 14:15:52Z RF ok: - | C2=12143.52 C3b=13828.51
2026-09-02 14:15:52Z ok [cloud] 3.3s events: - | eq=9172.89 pos=0
2026-09-02 14:28:44Z RF ok: - | C2=12143.52 C3b=13828.51
2026-09-02 14:28:44Z ok [cloud] 5.1s events: - | eq=9172.89 pos=0
2026-09-02 14:30:37Z RF ok: - | C2=12143.52 C3b=13828.51
2026-09-02 14:30:37Z ok [cloud] 3.3s events: - | eq=9172.89 pos=0
2026-09-02 14:43:52Z RF ok: - | C2=12143.52 C3b=13828.51
2026-09-02 14:43:52Z ok [cloud] 4.7s events: - | eq=9172.89 pos=0
2026-09-02 14:45:44Z RF ok: - | C2=12143.52 C3b=13828.51
2026-09-02 14:45:44Z ok [cloud] 3.5s events: - | eq=9172.89 pos=0
2026-09-02 14:58:35Z RF ok: - | C2=12143.52 C3b=13828.51
2026-09-02 14:58:35Z ok [cloud] 3.3s events: - | eq=9172.89 pos=0
2026-09-02 15:00:35Z RF ok: - | C2=12143.52 C3b=13828.51
2026-09-02 15:00:35Z ok [cloud] 4s events: - | eq=9172.89 pos=0
2026-09-02 15:13:31Z RF ok: - | C2=12143.52 C3b=13828.51
2026-09-02 15:13:31Z ok [cloud] 3.9s events: - | eq=9172.89 pos=0
2026-09-02 15:15:39Z RF ok: - | C2=12211.1 C3b=13944.3
2026-09-02 15:15:39Z ok [cloud] 3.6s events: - | eq=9172.89 pos=0
2026-09-02 15:28:42Z RF ok: - | C2=12211.1 C3b=13944.3
2026-09-02 15:28:42Z ok [cloud] 4.8s events: - | eq=9172.89 pos=0
2026-09-02 15:30:40Z RF ok: - | C2=12211.1 C3b=13944.3
2026-09-02 15:30:40Z ok [cloud] 3s events: - | eq=9172.89 pos=0
2026-09-02 15:43:41Z RF ok: - | C2=12211.1 C3b=13944.3
2026-09-02 15:43:41Z ok [cloud] 3.8s events: - | eq=9172.89 pos=0
2026-09-02 15:45:42Z RF ok: - | C2=12211.1 C3b=13944.3
2026-09-02 15:45:42Z ok [cloud] 3.5s events: - | eq=9172.89 pos=0
2026-09-02 15:58:28Z RF ok: - | C2=12211.1 C3b=13944.3
2026-09-02 15:58:28Z ok [cloud] 3.1s events: - | eq=9172.89 pos=0
2026-09-02 16:03:01Z scan 4h bar=2026-09-02 12:00: pass=0/20, near=AAVE-USDT 6/6 (miss: setupA+flatMode), btc=range fng=63 flat=ON
2026-09-02 16:03:04Z RF ok: - | C2=12211.1 C3b=13944.3
2026-09-02 16:03:04Z ok [cloud] 127.3s events: - | eq=9172.89 pos=0
2026-09-02 16:13:52Z RF ok: - | C2=12211.1 C3b=13944.3
2026-09-02 16:13:52Z ok [cloud] 5.1s events: - | eq=9172.89 pos=0
2026-09-02 16:15:36Z RF ok: - | C2=12172.82 C3b=13871.68
2026-09-02 16:15:36Z ok [cloud] 3.8s events: - | eq=9172.89 pos=0
2026-09-02 16:28:52Z RF ok: - | C2=12172.82 C3b=13871.68
2026-09-02 16:28:52Z ok [cloud] 5.6s events: - | eq=9172.89 pos=0
2026-09-02 16:30:40Z RF ok: - | C2=12172.82 C3b=13871.68
2026-09-02 16:30:40Z ok [cloud] 3.9s events: - | eq=9172.89 pos=0
2026-09-02 16:43:39Z RF ok: - | C2=12172.82 C3b=13871.68
2026-09-02 16:43:39Z ok [cloud] 4.7s events: - | eq=9172.89 pos=0
2026-09-02 16:45:36Z RF ok: - | C2=12172.82 C3b=13871.68
2026-09-02 16:45:36Z ok [cloud] 3.4s events: - | eq=9172.89 pos=0
2026-09-02 16:58:42Z RF ok: - | C2=12172.82 C3b=13871.68
2026-09-02 16:58:42Z ok [cloud] 3.5s events: - | eq=9172.89 pos=0
2026-09-02 17:00:36Z RF ok: - | C2=12172.82 C3b=13871.68
2026-09-02 17:00:36Z ok [cloud] 3s events: - | eq=9172.89 pos=0
2026-09-02 17:13:26Z RF ok: - | C2=12172.82 C3b=13871.68
2026-09-02 17:13:26Z ok [cloud] 3.5s events: - | eq=9172.89 pos=0
2026-09-02 17:15:41Z RF ok: - | C2=12145.42 C3b=13822.25
2026-09-02 17:15:41Z ok [cloud] 4s events: - | eq=9172.89 pos=0
2026-09-02 17:28:40Z RF ok: - | C2=12145.42 C3b=13822.25
2026-09-02 17:28:40Z ok [cloud] 4.7s events: - | eq=9172.89 pos=0
2026-09-02 17:30:40Z RF ok: - | C2=12145.42 C3b=13822.25
2026-09-02 17:30:40Z ok [cloud] 3.8s events: - | eq=9172.89 pos=0
2026-09-02 17:43:40Z RF ok: - | C2=12145.42 C3b=13822.25
2026-09-02 17:43:40Z ok [cloud] 3.9s events: - | eq=9172.89 pos=0
2026-09-02 17:45:34Z RF ok: - | C2=12145.42 C3b=13822.25
2026-09-02 17:45:34Z ok [cloud] 3.5s events: - | eq=9172.89 pos=0
2026-09-02 17:54:13Z RF ok: - | C2=12145.42 C3b=13822.25
2026-09-02 17:54:13Z ok [cloud] 3s events: - | eq=9172.89 pos=0
2026-09-02 17:58:33Z RF ok: - | C2=12145.42 C3b=13822.25
2026-09-02 17:58:33Z ok [cloud] 4s events: - | eq=9172.89 pos=0
2026-09-02 18:00:35Z RF ok: - | C2=12145.42 C3b=13822.25
2026-09-02 18:00:35Z ok [cloud] 3.4s events: - | eq=9172.89 pos=0
2026-09-02 18:13:25Z RF ok: - | C2=12145.42 C3b=13822.25
2026-09-02 18:13:25Z ok [cloud] 3.3s events: - | eq=9172.89 pos=0
2026-09-02 18:15:52Z RF ok: - | C2=12144.09 C3b=13821.29
2026-09-02 18:15:52Z ok [cloud] 3.3s events: - | eq=9172.89 pos=0
2026-09-02 18:28:38Z RF ok: - | C2=12144.09 C3b=13821.29
2026-09-02 18:28:38Z ok [cloud] 5.1s events: - | eq=9172.89 pos=0
2026-09-02 18:30:45Z RF ok: - | C2=12144.09 C3b=13821.29
2026-09-02 18:30:45Z ok [cloud] 3.5s events: - | eq=9172.89 pos=0
2026-09-02 18:43:27Z RF ok: - | C2=12144.09 C3b=13821.29
2026-09-02 18:43:28Z ok [cloud] 2.8s events: - | eq=9172.89 pos=0
2026-09-02 18:45:40Z RF ok: - | C2=12144.09 C3b=13821.29
2026-09-02 18:45:40Z ok [cloud] 3.6s events: - | eq=9172.89 pos=0
2026-09-02 19:04:39Z RF ok: - | C2=11966.89 C3b=13429.93
2026-09-02 19:04:39Z ok [cloud] 346.9s events: - | eq=9172.89 pos=0
2026-09-02 19:13:32Z RF ok: - | C2=12144.09 C3b=13821.29
2026-09-02 19:13:32Z ok [cloud] 3s events: - | eq=9172.89 pos=0
2026-09-02 19:15:37Z RF ok: - | C2=12134.16 C3b=13802.01
2026-09-02 19:15:37Z ok [cloud] 3.9s events: - | eq=9172.89 pos=0
2026-09-02 19:28:38Z RF ok: - | C2=12134.16 C3b=13802.01
2026-09-02 19:28:38Z ok [cloud] 4.6s events: - | eq=9172.89 pos=0
2026-09-02 19:30:35Z RF ok: - | C2=12134.16 C3b=13802.01
2026-09-02 19:30:35Z ok [cloud] 3.2s events: - | eq=9172.89 pos=0
2026-09-02 19:43:56Z RF ok: - | C2=12134.16 C3b=13802.01
2026-09-02 19:43:56Z ok [cloud] 3.5s events: - | eq=9172.89 pos=0
2026-09-02 19:45:34Z RF ok: - | C2=12134.16 C3b=13802.01
2026-09-02 19:45:34Z ok [cloud] 3.4s events: - | eq=9172.89 pos=0
2026-09-02 19:58:31Z RF ok: - | C2=12134.16 C3b=13802.01
2026-09-02 19:58:31Z ok [cloud] 3.5s events: - | eq=9172.89 pos=0
2026-09-02 20:02:58Z scan 4h bar=2026-09-02 16:00: pass=0/20, near=DOT-USDT 6/6 (miss: flatMode+atrCapLong), btc=range fng=63 flat=ON
2026-09-02 20:03:00Z RF ok: - | C2=12134.16 C3b=13802.01
2026-09-02 20:03:00Z ok [cloud] 118s events: - | eq=9172.89 pos=0
2026-09-02 20:13:40Z RF ok: - | C2=12134.16 C3b=13802.01
2026-09-02 20:13:40Z ok [cloud] 3.5s events: - | eq=9172.89 pos=0
2026-09-02 20:15:33Z RF ok: - | C2=12140.29 C3b=13813.12
2026-09-02 20:15:33Z ok [cloud] 3.5s events: - | eq=9172.89 pos=0
2026-09-02 20:28:41Z RF ok: - | C2=12140.29 C3b=13813.12
2026-09-02 20:28:41Z ok [cloud] 4s events: - | eq=9172.89 pos=0
2026-09-02 20:30:41Z RF ok: - | C2=12140.29 C3b=13813.12
2026-09-02 20:30:41Z ok [cloud] 5s events: - | eq=9172.89 pos=0
2026-09-02 20:34:38Z RF ok: - | C2=12140.29 C3b=13813.12
2026-09-02 20:34:38Z ok [cloud] 3.3s events: - | eq=9172.89 pos=0
2026-09-02 20:43:35Z RF ok: - | C2=12140.29 C3b=13813.12
2026-09-02 20:43:35Z ok [cloud] 4.8s events: - | eq=9172.89 pos=0
2026-09-02 20:45:46Z RF ok: - | C2=12140.29 C3b=13813.12
2026-09-02 20:45:46Z ok [cloud] 3.5s events: - | eq=9172.89 pos=0
2026-09-02 20:58:55Z RF ok: - | C2=12140.29 C3b=13813.12
2026-09-02 20:58:55Z ok [cloud] 5.8s events: - | eq=9172.89 pos=0
2026-09-02 21:00:44Z RF ok: - | C2=12140.29 C3b=13813.12
2026-09-02 21:00:44Z ok [cloud] 3.1s events: - | eq=9172.89 pos=0
2026-09-02 21:13:31Z RF ok: - | C2=12140.29 C3b=13813.12
2026-09-02 21:13:31Z ok [cloud] 3.2s events: - | eq=9172.89 pos=0
2026-09-02 21:15:49Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-02 21:15:49Z ok [cloud] 12.3s events: - | eq=9172.89 pos=0
2026-09-02 21:30:38Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-02 21:30:38Z ok [cloud] 3.6s events: - | eq=9172.89 pos=0
2026-09-02 21:45:40Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-02 21:45:40Z ok [cloud] 3.4s events: - | eq=9172.89 pos=0
2026-09-02 22:00:35Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-02 22:00:35Z ok [cloud] 3s events: - | eq=9172.89 pos=0
2026-09-02 22:15:36Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-02 22:15:36Z ok [cloud] 3.4s events: - | eq=9172.89 pos=0
2026-09-02 22:30:45Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-02 22:30:45Z ok [cloud] 3.7s events: - | eq=9172.89 pos=0
2026-09-02 22:45:33Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-02 22:45:34Z ok [cloud] 2.9s events: - | eq=9172.89 pos=0
2026-09-02 22:51:07Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-02 22:51:07Z ok [cloud] 3s events: - | eq=9172.89 pos=0
2026-09-02 23:00:36Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-02 23:00:36Z ok [cloud] 3.2s events: - | eq=9172.89 pos=0
2026-09-02 23:15:36Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-02 23:15:36Z ok [cloud] 3.1s events: - | eq=9172.89 pos=0
2026-09-02 23:30:51Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-02 23:30:51Z ok [cloud] 4.4s events: - | eq=9172.89 pos=0
2026-09-02 23:45:35Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-02 23:45:35Z ok [cloud] 3.1s events: - | eq=9172.89 pos=0
2026-09-03 00:02:46Z scan 4h bar=2026-09-02 20:00: pass=0/20, near=BNB-USDT 7/6 (miss: flatMode), btc=range fng=65 flat=ON
2026-09-03 00:02:49Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-03 00:02:49Z ok [cloud] 112.4s events: - | eq=9172.89 pos=0
2026-09-03 00:15:45Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-03 00:15:45Z ok [cloud] 3.5s events: - | eq=9172.89 pos=0
2026-09-03 00:27:07Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-03 00:27:07Z ok [cloud] 4.2s events: - | eq=9172.89 pos=0
2026-09-03 00:30:34Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-03 00:30:34Z ok [cloud] 2.9s events: - | eq=9172.89 pos=0
2026-09-03 00:45:38Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-03 00:45:38Z ok [cloud] 2.7s events: - | eq=9172.89 pos=0
2026-09-03 00:58:22Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-03 00:58:22Z ok [cloud] 3.4s events: - | eq=9172.89 pos=0
2026-09-03 01:00:40Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-03 01:00:40Z ok [cloud] 4.4s events: - | eq=9172.89 pos=0
2026-09-03 01:15:30Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-03 01:15:30Z ok [cloud] 2.9s events: - | eq=9172.89 pos=0
2026-09-03 01:30:35Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-03 01:30:35Z ok [cloud] 3.6s events: - | eq=9172.89 pos=0
2026-09-03 01:45:30Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-03 01:45:30Z ok [cloud] 3.5s events: - | eq=9172.89 pos=0
2026-09-03 02:00:47Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-03 02:00:47Z ok [cloud] 3.9s events: - | eq=9172.89 pos=0
2026-09-03 02:15:34Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-03 02:15:35Z ok [cloud] 4.5s events: - | eq=9172.89 pos=0
2026-09-03 02:30:56Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-03 02:30:56Z ok [cloud] 5.6s events: - | eq=9172.89 pos=0
2026-09-03 02:45:45Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-03 02:45:45Z ok [cloud] 3.4s events: - | eq=9172.89 pos=0
2026-09-03 03:00:38Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-03 03:00:38Z ok [cloud] 7.2s events: - | eq=9172.89 pos=0
2026-09-03 03:16:11Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-03 03:16:11Z ok [cloud] 4s events: - | eq=9172.89 pos=0
2026-09-03 03:30:36Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-03 03:30:36Z ok [cloud] 3.7s events: - | eq=9172.89 pos=0
2026-09-03 03:45:41Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-03 03:45:41Z ok [cloud] 3.9s events: - | eq=9172.89 pos=0
2026-09-03 04:03:17Z scan 4h bar=2026-09-03 00:00: pass=1/20 (BNB-USDT long), btc=up fng=65 flat=off
2026-09-03 04:03:26Z RF ok: - | C2=12125.36 C3b=13786.21
2026-09-03 04:03:26Z ok [cloud] 134.2s events: ENTRY T33 BNB-USDT long | eq=9167.98 pos=1
2026-09-03 04:21:48Z RF ok: - | C2=11965.31 C3b=13436.02
2026-09-03 04:21:48Z ok [cloud] 357.4s events: - | eq=9160.24 pos=1
2026-09-03 04:30:48Z RF ok: - | C2=12113.58 C3b=13764.51
2026-09-03 04:30:48Z ok [cloud] 14.9s events: - | eq=9161.47 pos=1
2026-09-03 04:45:45Z RF ok: - | C2=12113.58 C3b=13764.51
2026-09-03 04:45:45Z ok [cloud] 13.6s events: - | eq=9162.18 pos=1
2026-09-03 05:00:44Z RF ok: - | C2=12113.58 C3b=13764.51
2026-09-03 05:00:44Z ok [cloud] 13.1s events: - | eq=9182.83 pos=1
2026-09-03 05:15:49Z RF ok: - | C2=12187.98 C3b=13899.55
2026-09-03 05:15:49Z ok [cloud] 16s events: - | eq=9169.91 pos=1
2026-09-03 05:29:57Z RF ok: - | C2=12187.98 C3b=13899.55
2026-09-03 05:29:57Z ok [cloud] 16.6s events: - | eq=9146.97 pos=1
2026-09-03 05:32:30Z RF ok: - | C2=12187.98 C3b=13899.55
2026-09-03 05:32:30Z ok [cloud] 13.3s events: - | eq=9151.72 pos=1
2026-09-03 05:45:49Z RF ok: - | C2=12187.98 C3b=13899.55
2026-09-03 05:45:49Z ok [cloud] 16s events: - | eq=9169.91 pos=1
2026-09-03 06:00:40Z RF ok: - | C2=12187.98 C3b=13899.55
2026-09-03 06:00:40Z ok [cloud] 12.8s events: - | eq=9185.55 pos=1
2026-09-03 06:15:52Z RF ok: - | C2=12159.88 C3b=13851.19
2026-09-03 06:15:52Z ok [cloud] 16.8s events: - | eq=9187.31 pos=1
2026-09-03 06:30:50Z RF ok: - | C2=12159.88 C3b=13851.19
2026-09-03 06:30:50Z ok [cloud] 16.4s events: - | eq=9197.68 pos=1
2026-09-03 06:45:45Z RF ok: - | C2=12159.88 C3b=13851.19
2026-09-03 06:45:45Z ok [cloud] 13.9s events: - | eq=9204.71 pos=1
2026-09-03 07:00:46Z RF ok: - | C2=12159.88 C3b=13851.19
2026-09-03 07:00:46Z ok [cloud] 14.9s events: - | eq=9210.86 pos=1
2026-09-03 07:15:41Z RF ok: - | C2=12146.22 C3b=13825.63
2026-09-03 07:15:41Z ok [cloud] 13.5s events: - | eq=9214.2 pos=1
2026-09-03 07:30:48Z RF ok: - | C2=12146.22 C3b=13825.63
2026-09-03 07:30:48Z ok [cloud] 14.5s events: - | eq=9204.27 pos=1
2026-09-03 07:45:44Z RF ok: - | C2=12146.22 C3b=13825.63
2026-09-03 07:45:44Z ok [cloud] 12.7s events: - | eq=9217.1 pos=1
2026-09-03 07:58:45Z RF ok: - | C2=12146.22 C3b=13825.63
2026-09-03 07:58:45Z ok [cloud] 14.7s events: - | eq=9212.09 pos=1
2026-09-03 08:02:57Z scan 4h bar=2026-09-03 04:00: pass=0/20, near=BTC-USDT 7/6 (miss: triggerBar), btc=up fng=65 flat=off
2026-09-03 08:03:02Z RF ok: - | C2=12146.22 C3b=13825.63
2026-09-03 08:03:02Z ok [cloud] 125.3s events: - | eq=9224.75 pos=1
2026-09-03 08:13:42Z RF ok: - | C2=12146.22 C3b=13825.63
2026-09-03 08:13:42Z ok [cloud] 13.6s events: - | eq=9238.9 pos=1
2026-09-03 08:15:46Z RF ok: - | C2=12119.89 C3b=13775.65
2026-09-03 08:15:46Z ok [cloud] 13.7s events: - | eq=9242.07 pos=1
2026-09-03 08:28:42Z RF ok: - | C2=12119.89 C3b=13775.65
2026-09-03 08:28:42Z ok [cloud] 14.9s events: - | eq=9252.08 pos=1
2026-09-03 08:30:51Z RF ok: - | C2=12119.89 C3b=13775.65
2026-09-03 08:30:51Z ok [cloud] 15.8s events: - | eq=9249.98 pos=1
2026-09-03 08:45:49Z RF ok: - | C2=12119.89 C3b=13775.65
2026-09-03 08:45:49Z ok [cloud] 13.6s events: - | eq=9246.02 pos=1
2026-09-03 09:00:49Z RF ok: - | C2=12119.89 C3b=13775.65
2026-09-03 09:00:49Z ok [cloud] 13.4s events: - | eq=9241.63 pos=1
2026-09-03 09:15:47Z RF ok: - | C2=12129.08 C3b=13791.37
2026-09-03 09:15:47Z ok [cloud] 13.9s events: - | eq=9245.93 pos=1
2026-09-03 09:30:49Z RF ok: - | C2=12129.08 C3b=13791.37
2026-09-03 09:30:49Z ok [cloud] 17s events: - | eq=9244 pos=1
2026-09-03 09:45:50Z RF ok: - | C2=12129.08 C3b=13791.37
2026-09-03 09:45:50Z ok [cloud] 13.9s events: - | eq=9248.75 pos=1
2026-09-03 10:00:52Z RF ok: - | C2=12129.08 C3b=13791.37
2026-09-03 10:00:52Z ok [cloud] 14.4s events: - | eq=9234.95 pos=1
2026-09-03 10:15:45Z RF ok: - | C2=11883.18 C3b=13346.83
2026-09-03 10:15:45Z ok [cloud] 13.8s events: - | eq=9244 pos=1
2026-09-03 10:30:47Z RF ok: RF EXIT [C2/core] R21 COCOA stop -307.94; RF EXIT [C2/setA] R11 BR stop -104.38; RF EXIT [C3b/core] R22 COCOA stop -519.28; RF EXIT [C3b/setA] R12 BR stop -210.3 | C2=11867.93 C3b=13321.79
2026-09-03 10:30:47Z ok [cloud] 15.4s events: - | eq=9249.8 pos=1
2026-09-03 10:45:59Z RF ok: - | C2=11867.93 C3b=13321.79
2026-09-03 10:45:59Z ok [cloud] 13.4s events: - | eq=9253.84 pos=1
2026-09-03 11:00:44Z RF ok: - | C2=11867.93 C3b=13321.79
2026-09-03 11:00:44Z ok [cloud] 13.5s events: - | eq=9274.85 pos=1
2026-09-03 11:15:53Z RF ok: - | C2=11824.85 C3b=13238.33
2026-09-03 11:15:53Z ok [cloud] 13.6s events: - | eq=9286.71 pos=1
2026-09-03 11:23:57Z RF ok: - | C2=11824.85 C3b=13238.33
2026-09-03 11:23:57Z ok [cloud] 16.4s events: TP1 T33 BNB-USDT | eq=9303.52 pos=1
2026-09-03 11:30:45Z RF ok: - | C2=11824.85 C3b=13238.33
2026-09-03 11:30:45Z ok [cloud] 13.8s events: - | eq=9318.8 pos=1
2026-09-03 11:45:50Z RF ok: - | C2=11824.85 C3b=13238.33
2026-09-03 11:45:50Z ok [cloud] 14s events: - | eq=9328.03 pos=1
2026-09-03 12:03:03Z scan 4h bar=2026-09-03 08:00: pass=1/20 (BTC-USDT long), btc=up fng=65 flat=off
2026-09-03 12:03:10Z RF ok: - | C2=11824.85 C3b=13238.33
2026-09-03 12:03:10Z ok [cloud] 124.9s events: ENTRY T34 BTC-USDT long | eq=9313.56 pos=2
2026-09-03 12:16:13Z RF ok: - | C2=11866.2 C3b=13312.22
2026-09-03 12:16:13Z ok [cloud] 26s events: - | eq=9326.37 pos=2
2026-09-03 12:30:58Z RF ok: - | C2=11866.2 C3b=13312.22
2026-09-03 12:30:58Z ok [cloud] 22.3s events: - | eq=9339.55 pos=2
2026-09-03 12:45:54Z RF ok: - | C2=11866.2 C3b=13312.22
2026-09-03 12:45:54Z ok [cloud] 22.1s events: - | eq=9347.72 pos=2
2026-09-03 13:00:57Z RF ok: - | C2=11866.2 C3b=13312.22
2026-09-03 13:00:57Z ok [cloud] 22.4s events: - | eq=9374.49 pos=2
2026-09-03 13:16:21Z RF ok: - | C2=11805.86 C3b=13201.65
2026-09-03 13:16:21Z ok [cloud] 26.3s events: - | eq=9368.47 pos=2
2026-09-03 13:28:58Z RF ok: - | C2=11805.86 C3b=13201.65
2026-09-03 13:28:58Z ok [cloud] 24.7s events: - | eq=9361.24 pos=2
2026-09-03 13:34:44Z RF ok: - | C2=11829.64 C3b=13195.66
2026-09-03 13:34:44Z ok [cloud] 227.9s events: - | eq=9369.74 pos=2
2026-09-03 13:43:48Z RF ok: - | C2=11805.86 C3b=13201.65
2026-09-03 13:43:48Z ok [cloud] 21.3s events: - | eq=9405.01 pos=2
2026-09-03 13:45:59Z RF ok: - | C2=11805.86 C3b=13201.65
2026-09-03 13:45:59Z ok [cloud] 23s events: - | eq=9402.67 pos=2
2026-09-03 13:59:05Z RF ok: - | C2=11805.86 C3b=13201.65
2026-09-03 13:59:05Z ok [cloud] 28.6s events: - | eq=9398.39 pos=2
2026-09-03 14:01:00Z RF ok: - | C2=11805.86 C3b=13201.65
2026-09-03 14:01:00Z ok [cloud] 21.2s events: - | eq=9382.59 pos=2
2026-09-03 14:14:06Z RF ok: - | C2=11805.86 C3b=13201.65
2026-09-03 14:14:06Z ok [cloud] 21.7s events: - | eq=9411.23 pos=2
2026-09-03 14:16:14Z RF ok: - | C2=11859.46 C3b=13300.95
2026-09-03 14:16:14Z ok [cloud] 24s events: - | eq=9417.95 pos=2
2026-09-03 14:28:55Z RF ok: - | C2=11859.46 C3b=13300.95
2026-09-03 14:28:55Z ok [cloud] 22.7s events: TP1 T34 BTC-USDT | eq=9480.37 pos=2
2026-09-03 14:30:56Z RF ok: - | C2=11859.46 C3b=13300.95
2026-09-03 14:30:56Z ok [cloud] 21.8s events: - | eq=9489.96 pos=2
2026-09-03 14:43:53Z RF ok: - | C2=11859.46 C3b=13300.95
2026-09-03 14:43:53Z ok [cloud] 21.8s events: - | eq=9502 pos=2
2026-09-03 14:45:53Z RF ok: - | C2=11859.46 C3b=13300.95
2026-09-03 14:45:53Z ok [cloud] 20.9s events: - | eq=9500.71 pos=2
2026-09-03 15:01:00Z RF ok: - | C2=11859.46 C3b=13300.95
2026-09-03 15:01:00Z ok [cloud] 21s events: - | eq=9545.58 pos=2
2026-09-03 15:15:52Z RF ok: - | C2=11833.71 C3b=13252.01
2026-09-03 15:15:52Z ok [cloud] 21.6s events: - | eq=9537.32 pos=2
2026-09-03 15:30:48Z RF ok: - | C2=11833.71 C3b=13252.01
2026-09-03 15:30:48Z ok [cloud] 8.5s events: - | eq=9543.23 pos=2
2026-09-03 15:45:54Z RF ok: - | C2=11833.71 C3b=13252.01
2026-09-03 15:45:54Z ok [cloud] 21.9s events: - | eq=9555.5 pos=2
2026-09-03 16:03:28Z scan 4h bar=2026-09-03 12:00: pass=2/20 (ETH-USDT long, SOL-USDT long), btc=up fng=65 flat=off
2026-09-03 16:03:36Z RF ok: - | C2=11833.71 C3b=13252.01
2026-09-03 16:03:36Z ok [cloud] 138.1s events: ENTRY T35 ETH-USDT long | eq=9581.7 pos=3
2026-09-03 16:16:04Z RF ok: - | C2=11856 C3b=13294.18
2026-09-03 16:16:04Z ok [cloud] 30.3s events: - | eq=9551.77 pos=3
2026-09-03 16:27:20Z RF ok: - | C2=11856 C3b=13294.18
