utc,symbol,funding_pct_8h,oi_musd,price
2026-07-09 16:59,AVAX-USDT,0.01,35.8,6.704
2026-07-09 16:59,LINK-USDT,0.0049,53.8,7.698
2026-07-09 17:57,BTC-USDT,0.0094,3539.9,63112.7
2026-07-09 17:57,ETH-USDT,0.0052,1227.5,1747.82
2026-07-09 17:57,SOL-USDT,0.0052,544.5,78.038
2026-07-09 17:57,BNB-USDT,-0.0118,83.8,571.64
2026-07-09 17:57,XRP-USDT,0.01,210.7,1.0964
2026-07-09 17:57,DOGE-USDT,0.0043,88.7,0.07293
2026-07-09 17:57,ADA-USDT,0.0026,57.6,0.1664
2026-07-09 17:57,AVAX-USDT,0.0099,36,6.746
2026-07-09 17:57,LINK-USDT,0.0058,54.2,7.749
2026-07-09 18:56,BTC-USDT,0.0086,3508.5,63193.8
2026-07-09 18:56,ETH-USDT,0.0062,1243.2,1749.72
2026-07-09 18:56,SOL-USDT,0.0083,544.7,78.065
2026-07-09 18:56,BNB-USDT,-0.0123,84.2,571.77
2026-07-09 18:56,XRP-USDT,0.01,211.8,1.0933
2026-07-09 18:56,DOGE-USDT,0.0094,88.6,0.07309
2026-07-09 18:56,ADA-USDT,0.01,57.8,0.1664
2026-07-09 18:56,AVAX-USDT,0.0058,35.8,6.746
2026-07-09 18:56,LINK-USDT,0.0063,53.7,7.777
2026-07-09 19:54,BTC-USDT,0.0081,3508.7,63219.5
2026-07-09 19:54,ETH-USDT,0.0049,1234.1,1747.59
2026-07-09 19:54,SOL-USDT,0.0051,546.9,78.024
2026-07-09 19:54,BNB-USDT,-0.0146,84.3,569.82
2026-07-09 19:54,XRP-USDT,0.01,212.5,1.0957
2026-07-09 19:54,DOGE-USDT,0.01,88.7,0.07302
2026-07-09 19:54,ADA-USDT,0.01,57.7,0.1655
2026-07-09 19:54,AVAX-USDT,0.0036,35.6,6.726
2026-07-09 19:54,LINK-USDT,0.0015,53.7,7.767
2026-07-10 09:25,BTC-USDT,0.01,3693.2,64324.6
2026-07-10 09:25,ETH-USDT,0.01,1267.1,1785.71
2026-07-10 09:25,SOL-USDT,0.01,547.8,79.112
2026-07-10 09:25,BNB-USDT,0.0096,86.1,575.68
2026-07-10 09:25,XRP-USDT,0.0067,212.2,1.1129
2026-07-10 09:25,ADA-USDT,0.01,59,0.1679
2026-07-10 09:25,AVAX-USDT,0.0088,34.6,6.757
2026-07-10 09:25,LINK-USDT,0.0098,54.1,7.949
